0,349,464,629,464,629,484,349,484,星辰先创通信系统厦门有限公司,name
1,352,582,587,582,587,602,352,602,福建省莆田市友谊路349号,location
2,345,742,499,742,499,761,345,761,2013年12月29日， 2030年3月21日,start_date
3,354,794,688,794,688,813,354,813,2013年12月29日至 2030年3月21日,operation_date
4,358,523,518,523,518,543,358,543,特殊普通合伙企业,type
5,357,627,577,627,577,648,357,648,臧蓉蓉，徐元花，谢成兰,legal_person
6,343,841,803,841,803,862,343,862,系统集成，通信设备及配件、计算机网络设备、接插,business_scopes
7,343,863,803,863,803,884,343,884,件的制造、加工，软件开发、销售，通信设备及相关,business_scopes
8,343,885,383,885,383,904,343,904,产品,business_scopes
9,646,421,815,421,815,433,646,433,39495922601997545T,social_credit_code
10,358,675,458,675,458,694,358,694,捌仟伍佰万,registration_capital
11,491,411,644,411,644,439,491,439,统一社会信用代码,social_credit_code_key
12,173,463,351,463,351,507,173,507,名称,name_key
13,171,516,350,516,350,555,171,555,类型,type_key
14,171,567,349,567,349,608,171,608,住所,location_key
15,170,622,345,622,345,659,170,659,法定代表人,legal_person_key
16,171,676,347,676,347,714,171,714,注册资本,registration_capital_key
17,169,725,345,725,345,768,169,768,成立日期,start_date_key
18,166,780,345,780,345,820,166,820,经营期限,operation_date_key
19,165,834,348,834,348,875,165,875,经营范围,business_scopes_key
