0,390,394,523,394,523,411,390,411,310114000404878,social_credit_code
1,253,451,409,451,409,473,253,473,上海天然金刚石工具厂,name
2,255,478,334,478,334,498,255,498,集体所有制,type
3,255,502,458,502,458,525,255,525,嘉定区嘉定镇西门侯黄桥北堍,location
4,253,527,306,527,306,548,253,548,孙金虎,legal_person
5,254,553,413,553,413,574,254,574,人民币35.0000万元整,registration_capital
6,254,581,372,581,372,599,254,599,1999年5月14日,start_date
7,252,603,521,603,521,623,252,623,1999年5月14日至2019年5月13日,operation_date
8,253,625,561,625,561,644,253,644,金刚石工具，金刚石工艺品，五金铆焊机械机电工具。,business_scopes
9,256,641,566,641,566,661,256,661,【依法须经批准的项目，经相关部门批准后方可开展经,business_scopes
10,252,658,303,658,303,676,252,676,营活动】,business_scopes
11,330,391,384,391,384,410,330,410,注册号,social_credit_code_key
12,160,447,242,447,242,470,160,470,名称,name_key
13,163,476,243,476,243,495,163,495,类型,type_key
14,160,500,243,500,243,521,160,521,住所,location_key
15,162,526,242,526,242,546,162,546,法定代表人,legal_person_key
16,162,551,242,551,242,571,162,571,注册资本,registration_capital_key
17,160,578,241,578,241,596,160,596,成立日期,start_date_key
18,162,601,239,601,239,621,162,621,经营期限,operation_date_key
19,160,626,240,626,240,647,160,647,经营范围,business_scopes_key
