0,935,1664,1775,1664,1775,1724,935,1724,上海桥融投资管理咨询有限公司,name
1,926,1919,1596,1919,1596,1979,926,1979,浙江省湖州市台州路21号,location
2,937,2275,1328,2275,1328,2333,937,2333,2019年4月6日， 2022年1月31日,start_date
3,923,2403,1854,2403,1854,2461,923,2461,2019年4月6日至 2022年1月31日,operation_date
4,932,1794,1052,1794,1052,1852,932,1852,其他,type
5,939,2038,1059,2038,1059,2096,939,2096,喻尚,legal_person
6,921,2514,2421,2514,2421,2574,921,2574,国内贸易、货物进出口、技术进出口，商业、工业项目投,business_scopes
7,921,2576,2421,2576,2421,2636,921,2636,资，依法须经批准的项目，经相关部门批准后依批准的内,business_scopes
8,921,2638,2421,2638,2421,2698,921,2698,容开展经营活动，项目投资，鞋类、皮革制品，销售自行,business_scopes
9,921,2700,2421,2700,2421,2760,921,2760,开发的商品房，投资信息咨询，投资咨询、企业管理咨询,business_scopes
10,921,2762,2421,2762,2421,2822,921,2822,、企业形象策划、市场营销策划、商品展览展示策划、信,business_scopes
11,921,2824,1101,2824,1101,2883,921,2883,息咨询,business_scopes
12,1512,1571,2065,1571,2065,1612,1512,1612,16342895622448618R,social_credit_code
13,926,2151,1106,2151,1106,2210,926,2210,玖拾万,registration_capital
14,1501,1475,2044,1475,2044,1571,1501,1571,统一社会信用代码,social_credit_code_key
15,489,1642,932,1642,932,1754,489,1754,名称,name_key
16,482,1758,932,1758,932,1881,482,1881,类型,type_key
17,477,1882,942,1882,942,1997,477,1997,住所,location_key
18,477,2005,935,2005,935,2117,477,2117,法定代表人,legal_person_key
19,477,2123,935,2123,935,2250,477,2250,注册资本,registration_capital_key
20,479,2250,913,2250,913,2358,479,2358,成立日期,start_date_key
21,476,2366,922,2366,922,2472,476,2472,营业期限,operation_date_key
22,465,2480,921,2480,921,2595,465,2595,经营范围,business_scopes_key
