0,353,471,593,471,593,491,353,491,上海蓝倍商务咨询有限公司,name
1,347,583,582,583,582,603,347,603,湖北省荆州市明宇路370号,location
2,352,727,494,727,494,746,352,746,2014年7月25日， 2029年11月2日,start_date
3,354,798,676,798,676,817,354,817,2014年7月25日至 2029年11月2日,operation_date
4,357,524,457,524,457,544,357,544,个体工商户,type
5,344,630,404,630,404,650,344,650,闫立志,legal_person
6,361,845,821,845,821,865,361,865,销售金属制品、塑料制品、办公用品、针纺织品、机,business_scopes
7,361,867,821,867,821,887,361,887,械设备、电子产品、家具、五金、交电、日用杂品、,business_scopes
8,361,889,821,889,821,910,361,910,工艺美术品，翻译服务，企业形象策划，设计、制作,business_scopes
9,361,911,821,911,821,932,361,932,、代理、发布国内各类广告（涉及行政许可的凭许可,business_scopes
10,361,933,821,933,821,954,361,954,证经营），舞蹈、声乐、绘画技术培训，投资管理，,business_scopes
11,361,955,781,955,781,976,361,976,生物技术研发、技术咨询、技术服务、技术转让,business_scopes
12,646,410,815,410,815,422,646,422,052533947546576021,social_credit_code
13,363,688,463,688,463,708,363,708,捌佰伍拾万,registration_capital
14,491,411,644,411,644,439,491,439,统一社会信用代码,social_credit_code_key
15,173,463,351,463,351,507,173,507,名称,name_key
16,171,516,350,516,350,555,171,555,类型,type_key
17,171,567,349,567,349,608,171,608,住所,location_key
18,170,622,345,622,345,659,170,659,法定代表人,legal_person_key
19,171,676,347,676,347,714,171,714,注册资本,registration_capital_key
20,169,725,345,725,345,768,169,768,成立日期,start_date_key
21,166,780,345,780,345,820,166,820,经营期限,operation_date_key
22,165,834,348,834,348,875,165,875,经营范围,business_scopes_key
