0,920,1672,1520,1672,1520,1731,920,1731,南京广润建筑劳务公司,name
1,936,1930,1642,1930,1642,1988,936,1988,河北省保定市青年路838号,location
2,939,2273,1330,2273,1330,2331,939,2331,2015年5月1日， 2025年8月14日,start_date
3,931,2397,1862,2397,1862,2455,931,2455,2015年5月1日至 2025年8月14日,operation_date
4,924,1796,1284,1796,1284,1856,924,1856,国有独资公司,type
5,937,2046,1777,2046,1777,2106,937,2106,汤雪峰，吕晓宁，武姜，衣晓慧,legal_person
6,935,2523,2435,2523,2435,2583,935,2583,企业管理服务，工程管理服务，花卉苗木种植、销售，建,business_scopes
7,935,2585,2435,2585,2435,2645,935,2645,筑装饰装修建设工程设计与施工，仪器仪表、金属材料、,business_scopes
8,935,2647,2435,2647,2435,2706,935,2706,钢材、建筑装饰材料、水泥制品的销售，土石方建设工程,business_scopes
9,935,2709,2435,2709,2435,2769,935,2769,专业施工，建材、电气设备、暖通设备、机电设备的销售,business_scopes
10,935,2771,1715,2771,1715,2830,935,2830,，防腐保温建设工程专业施工,business_scopes
11,1517,1568,2068,1568,2068,1609,1517,1609,91703343488383459B,social_credit_code
12,930,2160,1110,2160,1110,2218,930,2218,玖佰万,registration_capital
13,1501,1475,2044,1475,2044,1571,1501,1571,统一社会信用代码,social_credit_code_key
14,489,1642,932,1642,932,1754,489,1754,名称,name_key
15,482,1758,932,1758,932,1881,482,1881,类型,type_key
16,477,1882,942,1882,942,1997,477,1997,住所,location_key
17,477,2005,935,2005,935,2117,477,2117,法定代表人,legal_person_key
18,477,2123,935,2123,935,2250,477,2250,注册资本,registration_capital_key
19,479,2250,913,2250,913,2358,479,2358,成立日期,start_date_key
20,476,2366,922,2366,922,2472,476,2472,营业期限,operation_date_key
21,465,2480,921,2480,921,2595,465,2595,经营范围,business_scopes_key
