0,303,538,591,538,591,563,303,563,安徽和润会计教育咨询公司,name
1,1005,683,1297,683,1297,707,1005,707,辽宁省葫芦岛市兴华路48号,location
2,1000,591,1185,591,1185,613,1000,613,2020年10月13日， 2021年8月15日,start_date
3,1005,637,1406,637,1406,659,1005,659,2020年10月13日至 2021年8月15日,operation_date
4,288,581,480,581,480,605,288,605,特殊普通合伙企业,type
5,301,650,757,650,757,674,301,674,余景涛，郑秋怡，陈一龙，熊培龙，曹景荣,legal_person
6,291,694,843,694,843,718,291,718,其他计算机系统服务，会务服务，销售金属制品、塑,business_scopes
7,291,720,843,720,843,744,291,744,料制品、办公用品、针纺织品、机械设备、电子产品,business_scopes
8,291,746,843,746,843,770,291,770,、家具、五金、交电、日用杂品、工艺美术品，经济,business_scopes
9,291,772,843,772,843,796,291,796,信息咨询，生物技术研发、技术咨询、技术服务、技,business_scopes
10,291,798,843,798,843,823,291,823,术转让，工艺品（不含文物）、化妆品、体育用品、,business_scopes
11,291,824,843,824,843,848,291,848,卫生洁具、厨具、洗涤用品（不含危险化学品）、水,business_scopes
12,291,850,843,850,843,874,291,874,果、蔬菜、农产品、水产品、食品的销售，广告设计,business_scopes
13,291,876,795,876,795,901,291,901,、制作、代理发布，清洁服务（不含洗车服务）,business_scopes
14,237,376,451,376,451,391,237,391,02275217373144321G,social_credit_code
15,1003,530,1075,530,1075,553,1003,553,伍佰万,registration_capital
16,142,350,356,350,356,378,142,378,统一社会信用代码,social_credit_code_key
17,142,533,288,533,288,565,142,565,名称,name_key
18,143,584,287,584,287,618,143,618,类型,type_key
19,850,691,1002,691,1002,723,850,723,住所,location_key
20,143,639,289,639,289,671,143,671,法定代表人,legal_person_key
21,845,531,1002,531,1002,564,845,564,注册资本,registration_capital_key
22,849,583,1001,583,1001,617,849,617,成立日期,start_date_key
23,849,636,1001,636,1001,671,849,671,营业期限,operation_date_key
24,144,690,291,690,291,722,144,722,经营范围,business_scopes_key
