0,922,1679,1522,1679,1522,1738,922,1738,乐易软件科技有限公司,name
1,931,1935,1601,1935,1601,1993,931,1993,河北省保定市梨园路37号,location
2,935,2275,1326,2275,1326,2333,935,2333,2019年3月1日， 2024年10月29日,start_date
3,923,2406,1889,2406,1889,2464,923,2464,2019年3月1日至 2024年10月29日,operation_date
4,922,1794,1042,1794,1042,1852,922,1852,其他,type
5,922,2029,1522,2029,1522,2088,922,2088,吴文义，秦品，孙方远,legal_person
6,931,2512,2431,2512,2431,2572,931,2572,计算机网络系统工程服务，数据处理，通讯器材、互联网,business_scopes
7,931,2574,2431,2574,2431,2634,931,2634,软件科技、物联网软件技术领域内的技术开发、技术咨询,business_scopes
8,931,2636,2431,2636,2431,2696,931,2696,、技术服务、技术转让，移动网络设备、通讯设备、电子,business_scopes
9,931,2698,2431,2698,2431,2758,931,2758,产品及配件、手机的技术开发及销售、信息咨询，广告设,business_scopes
10,931,2760,2431,2760,2431,2820,931,2820,计、制作、代理、发布，提供计算机技术转让、技术咨询,business_scopes
11,931,2822,1231,2822,1231,2880,931,2880,、技术服务,business_scopes
12,2068,1501,2617,1501,2617,1542,2068,1542,173222909033938393,social_credit_code
13,930,2153,1230,2153,1230,2211,930,2211,柒仟壹佰万,registration_capital
14,1501,1475,2044,1475,2044,1571,1501,1571,统一社会信用代码,social_credit_code_key
15,489,1642,932,1642,932,1754,489,1754,名称,name_key
16,482,1758,932,1758,932,1881,482,1881,类型,type_key
17,477,1882,942,1882,942,1997,477,1997,住所,location_key
18,477,2005,935,2005,935,2117,477,2117,法定代表人,legal_person_key
19,477,2123,935,2123,935,2250,477,2250,注册资本,registration_capital_key
20,479,2250,913,2250,913,2358,479,2358,成立日期,start_date_key
21,476,2366,922,2366,922,2472,476,2472,营业期限,operation_date_key
22,465,2480,921,2480,921,2595,465,2595,经营范围,business_scopes_key
