0,344,465,624,465,624,485,344,485,浙江蓝城紫金建设管理有限公司,name
1,361,574,596,574,596,594,361,594,湖北省荆州市太平路360号,location
2,345,727,487,727,487,746,345,746,2016年7月11日， 2019年6月26日,start_date
3,357,791,679,791,679,810,357,810,2016年7月11日至 2019年6月26日,operation_date
4,355,515,475,515,475,535,355,535,有限合伙企业,type
5,358,638,658,638,658,659,358,659,宋嘉瑜，陈万林，苏凤哲，黄华波,legal_person
6,354,837,814,837,814,858,354,858,建筑给排水建设工程专业施工，光电科技、机电科技,business_scopes
7,354,859,814,859,814,880,354,880,专业领域内的技术开发、技术转让、技术服务及设计,business_scopes
8,354,881,814,881,814,902,354,902,和施工，建材、电气设备、暖通设备、机电设备的销,business_scopes
9,354,903,654,903,654,924,354,924,售，装潢材料销售，企业管理服务,business_scopes
10,647,411,816,411,816,423,647,423,11121594134323589E,social_credit_code
11,355,687,415,687,415,707,355,707,玖拾万,registration_capital
12,491,411,644,411,644,439,491,439,统一社会信用代码,social_credit_code_key
13,173,463,351,463,351,507,173,507,名称,name_key
14,171,516,350,516,350,555,171,555,类型,type_key
15,171,567,349,567,349,608,171,608,住所,location_key
16,170,622,345,622,345,659,170,659,法定代表人,legal_person_key
17,171,676,347,676,347,714,171,714,注册资本,registration_capital_key
18,169,725,345,725,345,768,169,768,成立日期,start_date_key
19,166,780,345,780,345,820,166,820,经营期限,operation_date_key
20,165,834,348,834,348,875,165,875,经营范围,business_scopes_key
